title,img,latestChapter,rating,src,id,titleId,description,authors,genres,lastUpdated,views
Rebirth Of The Immortal Venerable,/mangaimage/manga-nr990726.jpg,Chapter 209,3.83,/manga/manga-nr990726,manga-nr990726,Rebirth Of The Immortal Venerable,"Rebirth of the Immortal Venerable summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Rebirth of the Immortal Venerable. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Daxiedao Anime,Action|Adventure|Martial arts|Mature|Supernatural|Manhua,2023-07-10 23:12,9000000.0
Target 1 Billion Points! Open The Ultimate Game Of Second Life!,/mangaimage/manga-hy985133.jpg,Chapter 74,3.89,/manga/manga-hy985133,manga-hy985133,Target 1 Billion Points! Open The Ultimate Game Of Second Life!,"Xie Yu kept himself closed because of the death of his friend, immersed in the game world, until one day a mobile game called the ultimate game appeared on his mobile phone, when he learned that the game can achieve all the wishes, even the dead Can be resurrected, with 100 million points as the goal, and the second life of the dead house begins!",炽翊漫画,Action,2022-08-21 20:55,9000000.0
Lan Ke Qi Yuan,/mangaimage/manga-ml989594.jpg,Chapter 203,4.66,/manga/manga-ml989594,manga-ml989594,Lan Ke Qi Yuan,"Lan Ke Qi Yuan is a Manga/Manhwa/Manhua in (English/Raw) language, Action series is written by Updating This Comic is About ""Leaves fell on the chess game by the side of Rotten Ke, and the old trees played against each other due to the uninteresting son of Tian Yuan, and then looked back on the vast mountains and seas When he woke up, Ji Yuan became a half-blind beggar in a dilapidated mountain temple. The sword, the sacred stick and one mouth are the foundation for Ji Yuan to settle down in this terrible world.""",阅文漫画,Action|Adventure|Fantasy|Martial arts,2023-04-18 21:56,9000000.0
Sankarea,/mangaimage/manga-be956713.jpg,Vol.11 Chapter 56.5: Extra: Sankarea If,4.74,/manga/manga-be956713,manga-be956713,Sankarea,"Chihiro Furuya is a male high-school student having a keen fascination with zombies, collection zombie-associated videogames, movie and manga, and even to the idea of wanting to ""kiss a zombie girl"". After the departure of his pet cat, Babu, he tries to resurrect an old manuscript, which describes the procedure for making a potion for resurrection being used by it. Only at that time, he sees a girl named Rea Sanka, who has runaway at home. In a effort to commit suicide, she drinks an example of the ""resurrection"" potion that is made in the toxic Hydrangea macrophylla bloom, even though this fails to eliminate her. Following a disagreement with her dad, she dies and falls from a cliff by accident. Nevertheless, as an effect of the potion, she becomes. The storyline follows the existence of Chihiro and his new 'zombie girl-friend'.",Hattori Mitsuru,Action|Comedy|Cooking|Drama|Horror|Romance|Shounen|Supernatural,2019-04-14 18:25,9000000.0
Martial Streamer,/mangaimage/manga-qc993611.jpg,Chapter 41,4.68,/manga/manga-qc993611,manga-qc993611,Martial Streamer,"TaeMin was a student taking a gap year, when he ended up electrocuting himself while trying to become a Youtuber.However, he ends up being reincarnated as Zhao Ga-h** in a world of martial arts, with livestreaming abilities to boot!With the special ability to access Youtube when he closes his eyes, he starts streaming his daily life in ancient China, with the goal of becoming the ultimate merchant and martial artist!",Buksam,Go Ha Som|Working Brain Please|Action|Drama|Fantasy|Historical|Martial arts|Shounen|Manhwa,2024-03-30 13:43,9000000.0
Introduction To Survival,/mangaimage/manga-sy996107.jpg,Chapter 64: Completed,4.69,/manga/manga-sy996107,manga-sy996107,Introduction To Survival,"Remember. ""One, two, three, four, five, six, seveneight"" I will remember it until the end. until the end On the day, my wife Julia was trampled on by them, all of my life and goals became stained with burning hatred. Yes, I have to kill those people. ""Bury me next to her on the day I have fulfilled my revenge."" Until then, I must survive. In this survival hunt",Haru (하루),Mr Quokka|Action|Mature|Psychological|Seinen|Tragedy|Manhwa,2024-02-24 06:08,9000000.0
I Am Space☆Dandy!,/mangaimage/manga-tc996385.jpg,"Vol.1 Chapter 1: It's Dangerous, So Watch Out, Baby",4.64,/manga/manga-tc996385,manga-tc996385,I Am Space☆Dandy!,"Our hero, Space☆Dandy, is a bounty hunter… in space. He makes a living by searching the galaxy for never-before-seen aliens species and taking them to the “Alien Registration Center”.Together with bucket o’ bolts QT and blockhead Meow, they travel uncharted lands in pursuit of strange creatures, experiencing many unforgettable adventures along the way…",Bones,Action|Adventure|Comedy|Shounen,2023-05-19 12:06,9000.0
I Became The Youngest Prince In The Novel,/mangaimage/manga-xo1000397.jpg,Chapter 33,4.75,/manga/manga-xo1000397,manga-xo1000397,I Became The Youngest Prince In The Novel,"The Flosimar Chronicles of the Hero, a novel about the failure, not the success, of a warrior. ""That sucks."" The emperor who had swallowed up the world closed his eyes and closed the book with a brief thought. But the moment I opened my eyes again, there were just a few lines in the chronicle. He had become a captive prince who faced death as soon as he appeared.",Moon Jongho,Action|Adventure|Fantasy,2024-03-16 16:57,999900.0
Ragnarok: Into The Abyss,/mangaimage/manga-tu958555.jpg,Vol.10 Chapter 103 [End],4.21,/manga/manga-tu958555,manga-tu958555,Ragnarok: Into The Abyss,"Based loosely on norse mythology, Ragnarök is the term for the ""Twilight of the Gods"" the final destruction of the world. Christian equivalence would be Final Judgment. After 1000 years of peace, the wolf god Fenris Fenrir has been reborn. She seeks to find the reincarnation of Balder, the most beloved God, as the land of Midgard sinks further into anarchy. They are both key players in the coming of Ragnarok, the time when fate and free-will shall come into conflict as the very nature of the universe is forever redefined. The story begins with the reborn wolf god Fenris Fenrir in the form of a warlock. She is searching for the main character Chaos, a swordsman suffering from amnesia and possessing skills of a Dragon Knight who happens to be the incarnation of her love, Baldur. The story follows the journey of Fenris, Chaos, Iris (a cleric who is Chaos' friend), and Loki (one of the top assassins in Midgard), who are pursued by the Valkyries, lead by the war goddess, Freya.",Lee Myung-Jin,Action|Adventure|Comedy|Drama|Fantasy|Shounen|Supernatural,2018-11-07 22:19,999400.0
The Legendary Moonlight Sculptor (Novel),/mangaimage/manga-vn972670.jpg,Chapter 53,3.49,/manga/manga-vn972670,manga-vn972670,The Legendary Moonlight Sculptor (Novel),"The man forsaken by the world, the man a slave to money and the man known as the legendary God of War in the highly popular MMORPG Continent of Magic. With the coming of age, he decides to say goodbye, but the feeble attempt to earn a little something for his time and effort ripples into an effect none could ever have imagined. Through a series of coincidences, his legendary avatar is sold for 3.1 billion won, bringing great joy to him, only to plunge him into despair at losing almost all of it to vicious loan sharks. With revelation of money through gaming, he rises from the abyss with new found resolve and steps forward into the new age of games led by the first ever Virtual Reality MMORPG, Royal Road. This is the legend of Lee Hyun on his path to becoming Emperor with only his family loving heart, his boundless desire for money, his unexpected mind, his diligently forged body and the talent of hard work backing him.",Nam Heesung,Action|Adventure|Comedy|Drama|Fantasy|Romance|Sci fi,2016-08-22 16:44,998600.0
